question,answer
Apa itu Bp2tl?," 
Balai Pendidikan dan Pelatihan Transportasi Laut Jakarta (BP2TL) Jakarta merupakan Unit Pelaksana Teknis (UPT) di bawah Kementerian Perhubungan, bertanggung jawab langsung kepada Kepala Badan Pengembangan Sumber Daya Manusia Perhubungan, sesuai yang tertera pada PM 96 Tahun 2017.
 
Terdiri atas 2 (dua) Program Diklat:
1. Diklat Teknis Fungsional
2. Diklat Pelaut
 
Sebagai upaya untuk memenuhi standar kompetensi, Lembaga Sertifikasi Profesi (LSP) BP2TL Jakarta hadir di tengah tengah persaingan global sebagai mitra terbaik bagi instansi pemerintah maupun swasta yang bergerak di kepelabuhanan dan kemaritiman secara umum untuk membekali SDM dengan kompetensi yang dibutuhkan.
 
BP2TL Jakarta mempunyai tugas melaksanakan pendidikan dan pelatihan teknis fungsional dan manajerial di bidang pelayaran. Dalam melaksanakan tugas sebagaimana dimaksud Pasal 2, BP2TL Jakarta menyelenggarakan fungsi:
·      Penyusunan rencana dan program;
· Pelaksana urusan kepegawaian, keuangan, perlengkapan, kerumahtanggan, tata usaha, hubungan masyarakat, dan hukum;
· Pelaksanaan pendidikan dan pelatihan di bidang pelayaran; Pelaksanaan pembimbingan dan pengembangan peserta
·       pendidikan dan pelatihan;
·       Pelaksanaan sertifikasi profesi kerja di bidang pelayaran;
·       Pengelolaan sarana dan prasarana pendidikan dan pelatihan;
·       Pelaksanaan pengembangan usaha dan kerja sama;
·       Pelaksanaan pemeriksaan intern;
·       Pengelolaan unit penunjang pendidikan dan pelatihan, dan;
·       Pelaksanaan evaluasi dan pelaporan.
 
"
Apa Visi Misi bp2tl?,"Visi:
Mewujudkan SDM profesional di bidang transportasi laut yang berstandar nasional dan internasional.
Misi:
Menyelenggarakan pendidikan dan pelatihan di bidang transportasi laut sesuai dengan standar nasional dan internasional, melaksanakan pembinaan sikap, mental, moral, dan disiplin kepada peserta diklat, mewujudkan sarana dan prasarana pendidikan dan pelatihan sesuai dengan perkembangan IPTEK, serta melaksanakan pengelolaan keuangan yang transparan dan akuntabel."
Apa dan siapa struktur pemimpin dan kepala bp2tl,"Dipimpin oleh Kepala BP2TL dan didukung oleh Dewan Pengawas serta Satuan Pemeriksa Intern dalam fungsi pengawasan. Operasionalnya dijalankan oleh Subbagian Keuangan dan Umum, serta tiga seksi utama yaitu Seksi Penyelenggaraan Diklat Teknis Fungsional, Seksi Penyelenggaraan Diklat Pelaut, dan Seksi Sarana dan Prasarana. Selain itu, terdapat Divisi Pengembangan Usaha dan Kerja Sama, Unit Penunjang, serta Kelompok Jabatan Fungsional yang mendukung pelaksanaan tugas sesuai bidang masing-masing.
 
Pejabat:
Kepala BP2TL Jakarta : Heru Widada, M.M.
Kepala Sub Bagian Keuangan dan Umum: Achmad Solihin, S.AB.
Kepala Seksi Penyelenggaraan Diklat Pelaut: Capt. Asep Yedi Heryadi, M.M.
Kepala Seksi Penyelenggaraan Diklat Teknis Fungsional: Tri Mulyatno Budhi Hartanto S.SI.T, M.PD.
Kepala Seksi Sarana dan Prasarana: Untari Ratna IkA Setyaningsih S.SI.T., M.M.TR."
Siapa kontak bp2tl,"Kontak: humas@bp2tl.ac.id.
Nomor WhatsApp Layanan
Nomor  Pendaftaran/admin Diklat: +6281117071205
Nomor Helpdesk: +6281117070807
Penyewaan Aset: +6281117070806
"
Dimana kantor/kampus bp2tl,"Lokasi: Jl. Moch. Kahfi II No.88, RT.02/05/RW.5, Cipedak, Kec. Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630."
Berapa biaya/harga diklat able deck ,"ABLE SEAFARER DECK, ABLE SEAFARER DECK Biaya diklat:3.009.000"
,
Berapa biaya/harga diklat able engine,"ABLE SEAFARER ENGINE,ABLE SEAFARER ENGINE PASIS Biaya diklat:3.176.000"
,
,
