question,answer
Apakah BP2TL itu?,Balai Pendidikan dan Pelatihan Transportasi Laut Jakarta yang selanjutnya dalam Peraturan Menteri ini disingkat BP2TL Jakarta merupakan Unit Pelaksana Teknis di Lingkungan Kementerian Perhubungan yang berada dan bertanggung jawab langsung kepada Kepala Badan Pengembangan Sumber Daya Manusia Perhubungan
Bagaimana cara pendaftaran diklat?,Pendaftaran diklat dapat dilakukan secara online melalui link: diklat.bp2tl.ac.id atau dapat secara langsung melalui loket BP2TL pada Senin s/d Jumat Pukul 08.00-15.00 WIB
Berapa lama verifikator melakukan verifikasi berkas pendaftaran akun peserta diklat?,"Verifikator akan melakukan pengecekan berkas pendaftaran di hari yang sama pada Hari Kerja. Peserta diklat diharapkan dapat melakukan pengecekan kotak masuk pada email yang didaftarkan secara berkala 3x24 jam.
Apabila dalam 3x24 jam belum menerima nomor peserta, silahkan menghubungi Whatsapp Helpdesk BP2TL Jakarta."
Berapa lama masa pembelajaran Diklat Keterampilan?,Lamanya waktu pembelajaran tergantung dari jenis diklat yang dipilih
Berapa lama masa pembelajaran Diklat Peningkatan?,"Lama masa pembelajaran diklat peningkatan sebagai berikut:

DP III selama 6 bulan
DP IV, V selama 4 bulan"
Bagaimana proses dan persyaratan legalisir sertifikat/ijazah?,"Pegajuan legalisir hanya dapat dilakukan secara langsung di loket BP2TL dengan membawa persyaratannya sebagai berikut:

- Ijazah Asli
- Fotokopi Ijazah
- Fotokopi KTP"
Bagaimana proses pengurusan sertifikat yang hilang?,"Pegajuan sertifikat baru atas sertifikat yang hilang dapat dilakukan secara langsung di loket BP2TL dengan membawa persyaratannya sebagai berikut:

1. KTP
2. Akta Kelahiran
3. Surat Kehilangan dari Kepolisian
4. Kartu Keluarga (KK)
5. Pas Foto terbaru
6. Scan sertifikat yang hilang
7. Surat keterangan bahwa Bapak akan melakukan cetak ulang sertifikat
8. Surat Pernyataan Peserta (diunduh melalui akun masing-masing)
"
Apakah untuk persyaratan Surat Keterangan Sehat/Medical Check Up (MCU) harus dari RS Pemerintah?,"Terkait persyaratan surat keterangan dokter dan MCU, dokumen harus dikeluarkan oleh Rumah Sakit/Klinik yang ter-approve DJPL ya kak.

Berikut link daftar RS/Klinik yang dapat digunakan:
https://bkkp.dephub.go.id/index.php/pages/rsik

Selain itu, dokter pemeriksa juga harus dokter yang ter-approve DJPL. Daftar dokter yang diakui dapat dicek pada link berikut:
https://bkkp.dephub.go.id/index.php/pages/dokter

Mohon dipastikan juga surat yang diunggah masih berlaku (tidak expired) ya kak. Terima kasih 🙏
"
"Perbedaan Revalidasi dan Updating
","Perbedaan REVALIDASI dan UPDATING BST MSC.560
⚓️REVALIDASI
- Masa aktif berubah/upgrade menjadi tahun terbit terbaru
- Terdapat penambahan materi Mental Healt & Dokumentasi pelaut
- Durasi waktu pembelajaran 6 jam (1 hari)
⚓️UPDATING
- Masa aktif mengikuti terbitan sertifikat BST sebelumnya
- Terdapat penambahan materi Mental Healt 
- Durasi waktu pembelajaran 4 jam (1 hari)
"
Informasi mengenai diklat BOCT kak,"Berikut persyaratan Diklat BOCT:

📌 Dokumen WAJIB (diupload saat pendaftaran):

1. KTP (scan asli)
2. Minimal Sertifikat ANT-V / ATT-V atau Perwira Dek/Mesin Kapal Negara III atau Pelaut Rating Dinas Jaga Dek/Mesin/Teknik Listrik Kapal
3. Surat Pernyataan Peserta Diklat

📌 Dokumen TIDAK WAJIB (boleh menyusul setelah pendaftaran):

1. Akte Lahir / Surat Kenal Lahir (scan asli)
2. Sertifikat AFF (scan asli)
3. Sertifikat Kesehatan / MCU yang masih berlaku dari RS/Klinik atau dokter BP2TL (scan asli)

Jadi, dokumen yang WAJIB harus diupload saat pendaftaran, sedangkan yang TIDAK WAJIB dapat dilengkapi menyusul ya kak 🙏
"
"PERSYARATAN DIKLAT SDSD
","PERSYARATAN DIKLAT SDSD

1. Sertifikat Diklat BST
2. Buku Pelaut yang masih berlaku
3. Sertifikat Kesehatan Pelaut dari rumah sakit atau lembaga kesehatan lainnya dari dokter yang telah ditunjuk oleh DJPL
4. Surat Kenal Lahir/ Akte kelahiran
5. KTP atau tanda bukti diri lain yang sah
"
PERSYARATAN REVALIDASI/UPDATING BST," PERSYARATAN REVALIDASI/UPDATING BST 

1. KTP
2. KARTU KELUARGA 
3. AKTE 
4. SERTIFIKAT BST 
5. PASS FOTO
6. PKL dan surat rekomendasi dr perusahaan atau instansi terkait (jika posisi sedang onboard)
7. Surat pernyataan peserta diklat
"
 pak mau nanya untuk updating ATT 3 ujiannya online atau offline pak,"Pembelajaran UPDATING/PEMUTAKHIRAN di kampus kami sistem pembelajarannya Online untuk materi namun pada saat UJIAN/UKP OFFLINE DI KAMPUS BP2TL JAKARTA. Jika ujian tidak lulus silahkan Kakak diberikan kesempatan mengulang sampai 4 kali pengulangan saja. 

Sertifikat akan lanjut di cetak jika Kakak sudah lulus ujiannya ya, terima kasih ⚓🙏🏻"
" bapak/ibu admin
Untuk pendaftaran scrb di mulai kapan ya bu?","Berikut jadwal pendaftaran Diklat SCRB tahun 2026:

1. 17–21 Jan 2026 | Pendaftaran: 10 Des 2025 – 16 Jan 2026
2. 30 Jan–03 Feb 2026 | Pendaftaran: 10 Des 2025 – 29 Jan 2026
3. 13–19 Feb 2026 | Pendaftaran: 10 Des 2025 – 12 Feb 2026
4. 27 Feb–03 Mar 2026 | Pendaftaran: 10 Des 2025 – 26 Feb 2026
5. 13–17 Mar 2026 | Pendaftaran: 10 Des 2025 – 12 Mar 2026
6. 27–31 Mar 2026 | Pendaftaran: 10 Des 2025 – 26 Mar 2026
7. 17–21 Apr 2026 | Pendaftaran: 10 Des 2025 – 16 Apr 2026
8. 02–06 Mei 2026 | Pendaftaran: 10 Des 2025 – 01 Mei 2026
9. 16–20 Mei 2026 | Pendaftaran: 10 Des 2025 – 15 Mei 2026
10. 29 Mei–03 Jun 2026 | Pendaftaran: 31 Des 2025 – 26 Mei 2026
11. 12–16 Jun 2026 | Pendaftaran: 10 Des 2025 – 11 Jun 2026
12. 26–30 Jun 2026 | Pendaftaran: 10 Des 2025 – 25 Jun 2026
13. 17–21 Jul 2026 | Pendaftaran: 10 Des 2025 – 16 Jul 2026
14. 31 Jul–04 Agt 2026 | Pendaftaran: 10 Des 2025 – 30 Jul 2026
15. 14–19 Agt 2026 | Pendaftaran: 10 Des 2025 – 13 Agt 2026
16. 28 Agt–01 Sep 2026 | Pendaftaran: 10 Des 2025 – 27 Agt 2026
17. 18–22 Sep 2026 | Pendaftaran: 10 Des 2025 – 17 Sep 2026
18. 02–06 Okt 2026 | Pendaftaran: 10 Des 2025 – 01 Okt 2026
19. 16–20 Okt 2026 | Pendaftaran: 10 Des 2025 – 15 Okt 2026
20. 30 Okt–03 Nov 2026 | Pendaftaran: 10 Des 2025 – 29 Okt 2026
21. 13–17 Nov 2026 | Pendaftaran: 10 Des 2025 – 12 Nov 2026
22. 27 Nov–01 Des 2026 | Pendaftaran: 10 Des 2025 – 26 Nov 2026

Silakan memilih periode yang diinginkan dan mendaftar sebelum batas waktu pendaftaran ya di halaman http://bp2tl.ac.id/pendaftaran.php 🙏
"
 pak mau nanya untuk updating ATT 3 ujiannya online atau offline pak,"Pembelajaran UPDATING/PEMUTAKHIRAN di kampus kami sistem pembelajarannya Online untuk materi namun pada saat UJIAN/UKP OFFLINE DI KAMPUS BP2TL JAKARTA. Jika ujian tidak lulus silahkan Kakak diberikan kesempatan mengulang sampai 4 kali pengulangan saja. 

Sertifikat akan lanjut di cetak jika Kakak sudah lulus ujiannya ya, terima kasih ⚓🙏🏻"
" pak/bu
maaf mengganggu saya mau nanya
utk diklat scrb periode 30 jan-3 feb apakah ada prakteknya???","Terkait Diklat tersebut, apabila belum ada informasi lebih lanjut di grup, maka pelaksanaan pembelajaran sementara dilaksanakan secara online. Informasi mengenai praktik akan disampaikan kembali jika sudah ada jadwal resmi.
Terima kasih."
" min, apa saja persyaratan pengambilan sertifikat BST Updating yang sudah jadi, yang harus disiapkan?","Untuk pengambilan fisik sertifikat yang sudah jadi,
Mohon menyiapkan:

Pas foto ukuran 3x4:
Hitam putih bertuliskan BP2TL (untuk diklat keterampilan)
Berwarna dengan latar sesuai jurusan:
• Nautika: latar biru
• Teknika: latar merah

Terima kasih."
